"Períodos";"Indicadores";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaiba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Lider";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"Jaçanã";"José Bonifácio (distrito da capital)";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira (distrito da capital)";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro (distrito da capital)";"Tatuapé";"Tremembé (distrito da capital)";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Cód. IBGE"
"2020";"População Masculina de 65 a 69 Anos";"1834";"1128";"955";"1635";"1832";"309";"1442";"907";"617";"497";"3557";"1204";"2060";"740";"1561";"2126";"3137";"2258";"3868";"1829";"1638";"4056";"3250";"2291";"2859";"1242";"2339";"1933";"2701";"4931";"1497";"1970";"2236";"2334";"3133";"3129";"3983";"525";"832";"2845";"3976";"1763";"2108";"4018";"1566";"2272";"2220";"1543";"1458";"1396";"2067";"166";"2453";"1786";"1050";"1920";"277";"1129";"2196";"2522";"2927";"1156";"1592";"3144";"1690";"1569";"1166";"2016";"4431";"1823";"2712";"1803";"1517";"2792";"2597";"1359";"2122";"4730";"3251";"331";"786";"2175";"3412";"2197";"1982";"2124";"2048";"1115";"2183";"828";"1796";"3346";"2080";"2246";"2187";"2137";-
"2020";"População Masculina de 70 a 74 Anos";"1326";"882";"535";"1231";"1324";"232";"1051";"589";"397";"366";"2355";"929";"1342";"518";"1175";"1453";"2056";"1545";"2576";"1356";"1149";"2875";"2295";"1537";"1605";"1038";"1675";"1305";"1840";"3076";"957";"1170";"1548";"1818";"2027";"2164";"2581";"393";"582";"1789";"2501";"1181";"1900";"2610";"1110";"1600";"1415";"1129";"1147";"993";"1451";"108";"1975";"1174";"825";"1168";"235";"811";"1469";"1909";"2241";"747";"1218";"2139";"1161";"1107";"789";"1393";"2915";"1330";"1960";"1384";"1137";"1972";"1776";"953";"1402";"3139";"2327";"197";"600";"1501";"2261";"1509";"1295";"1445";"1409";"760";"1332";"556";"1159";"2635";"1424";"1551";"1579";"1549";-
"2020";"População Masculina de 75 Anos e Mais";"1902";"1496";"370";"1595";"1599";"297";"1337";"773";"539";"349";"2294";"1338";"1422";"739";"1810";"1767";"1923";"1749";"2233";"1867";"1515";"2813";"2223";"1413";"1207";"1520";"2217";"1268";"2153";"2374";"847";"973";"2087";"2493";"1829";"2186";"3323";"482";"768";"1524";"2013";"1126";"2678";"2442";"1248";"1251";"1247";"1741";"1392";"1119";"1838";"102";"2392";"1746";"1131";"980";"315";"717";"1236";"2447";"2708";"681";"1774";"2426";"1378";"1052";"895";"1577";"3391";"1713";"2529";"2010";"1298";"2674";"1924";"1164";"1408";"3142";"3264";"226";"841";"2063";"2389";"2123";"1272";"1532";"1898";"1045";"1295";"705";"1527";"3314";"1886";"2058";"2012";"1924";-
"2020";"População Feminina";"44280";"22391";"43064";"45192";"53374";"8769";"38236";"25448";"19971";"16623";"146941";"28420";"76201";"21725";"34402";"56862";"119195";"72538";"154695";"45180";"45985";"149726";"106003";"69928";"123029";"31311";"60621";"61479";"74068";"200711";"56645";"76217";"59797";"52508";"121835";"110411";"121604";"12560";"28699";"110231";"173823";"69632";"49720";"152288";"50515";"72025";"89653";"36103";"38942";"42417";"58025";"4173";"48453";"42498";"28145";"78407";"9985";"36888";"83037";"68883";"62180";"45692";"36113";"89791";"47454";"56407";"30822";"64409";"137955";"47170";"62591";"39710";"45264";"75268";"80309";"46542";"81431";"150408";"72810";"13562";"19249";"51730";"115815";"51893";"83577";"79353";"49827";"30313";"75471";"22702";"59447";"71955";"55858";"65443";"55394";"63807";-
"2020";"População Feminina de 0 a 4 Anos";"2125";"761";"2927";"2382";"2811";"464";"1906";"1822";"1359";"1246";"11177";"1259";"5266";"1169";"1529";"2703";"7760";"4479";"10741";"2046";"2585";"10077";"6629";"4345";"8813";"1145";"3037";"3901";"4123";"14820";"4133";"5840";"3019";"2242";"8454";"7091";"6775";"644";"1678";"7590";"12820";"5360";"1970";"10165";"2858";"4025";"6653";"1534";"1852";"2634";"2917";"261";"1833";"2056";"1642";"6238";"704";"2381";"5365";"3493";"2431";"3473";"1389";"5109";"2546";"3823";"1630";"4461";"7670";"2263";"2788";"1652";"2454";"3749";"5064";"3344";"5362";"9477";"2964";"1013";"925";"2211";"7829";"2311";"5189";"5180";"2398";"1743";"4436";"1094";"3888";"2881";"2819";"3841";"2687";"3777";-
"2020";"População Feminina de 5 a 9 Anos";"2335";"838";"2803";"2519";"2980";"516";"2054";"2090";"1501";"1441";"11407";"1376";"5546";"1283";"1714";"2983";"8045";"4707";"11011";"2213";"2787";"10483";"6911";"4486";"8591";"1099";"3362";"4062";"4395";"15091";"4167";"5760";"3300";"2594";"8548";"7386";"7318";"699";"1807";"7703";"13207";"5428";"2142";"10571";"2946";"4156";"6695";"1724";"2082";"2823";"3100";"244";"2064";"2276";"1779";"6161";"766";"2502";"5402";"3761";"2620";"3501";"1561";"5440";"2693";"4064";"1843";"4863";"8087";"2469";"3022";"1858";"2606";"3902";"5327";"3518";"5400";"9839";"3358";"1157";"1017";"2399";"7988";"2474";"5190";"5202";"2499";"1947";"4418";"1232";"4123";"3099";"2992";"4090";"2872";"4081";-
"2020";"População Feminina de 10 a 14 Anos";"1849";"840";"2734";"2238";"2748";"408";"1370";"1273";"1106";"805";"9037";"1074";"4507";"1053";"1472";"2800";"7172";"3740";"9276";"1972";"2202";"8789";"5856";"3894";"8262";"813";"2827";"3605";"3473";"12715";"3490";"4788";"2799";"2140";"7699";"6504";"6304";"574";"1569";"6584";"12092";"4316";"1602";"8890";"2864";"4279";"5750";"1459";"1555";"2147";"2666";"293";"1918";"1885";"1287";"5109";"547";"2202";"5234";"3196";"2361";"2859";"1251";"4615";"2426";"3206";"1278";"3357";"7345";"1767";"2284";"1716";"2413";"3833";"4400";"2459";"5436";"8573";"2828";"573";"760";"2063";"6622";"2080";"5501";"4711";"2178";"1420";"4706";"1202";"3276";"2472";"2742";"3315";"2610";"3258";-
"2020";"População Feminina de 15 a 19 Anos";"2026";"860";"3165";"2528";"2922";"407";"1233";"1219";"1103";"886";"10535";"1143";"4915";"1059";"1531";"2898";"7705";"4202";"10564";"2237";"2373";"9380";"6736";"4521";"9523";"869";"2949";"3881";"3915";"14568";"4050";"5775";"2924";"1687";"8552";"7167";"6473";"655";"1748";"7854";"13011";"4874";"1472";"9996";"3255";"4835";"6472";"1461";"1502";"2420";"3021";"304";"1700";"1842";"1517";"6140";"577";"2505";"5789";"3460";"2388";"3260";"1222";"4971";"2672";"3734";"1106";"3608";"8149";"1722";"2406";"1792";"2695";"4033";"4993";"2764";"6310";"9624";"2799";"719";"903";"2260";"7497";"2317";"6054";"5572";"2531";"1450";"5203";"1182";"3497";"2293";"2993";"3546";"2686";"3564";-
"2020";"População Feminina de 20 a 24 Anos";"2317";"996";"4109";"3126";"3623";"417";"1412";"1387";"1262";"1040";"12971";"1322";"5996";"1235";"1627";"3480";"9463";"5325";"12905";"2634";"2897";"11479";"8156";"5307";"11527";"982";"3281";"4673";"4873";"18068";"4927";"6906";"3425";"1762";"10740";"9038";"7984";"802";"2030";"9542";"15573";"6112";"1623";"12075";"3849";"5689";"8377";"1664";"1651";"2735";"3778";"471";"1940";"2163";"1765";"7536";"644";"2949";"7013";"4187";"2491";"4116";"1327";"6062";"3349";"4141";"1301";"4282";"9628";"2039";"3068";"1943";"3147";"4725";"6341";"3647";"7360";"11784";"3063";"829";"1070";"2762";"9439";"2764";"7091";"6947";"3142";"1771";"6429";"1313";"4235";"2595";"3594";"4393";"3269";"3996";-
"2020";"População Feminina de 25 a 29 Anos";"2651";"1172";"4065";"3017";"3611";"449";"1878";"1363";"1252";"1073";"11906";"1566";"5839";"1248";"1641";"3424";"8914";"5272";"12058";"2694";"2949";"11355";"7938";"5484";"10825";"1763";"3636";"4688";"4925";"17094";"4722";"6734";"3677";"2314";"10337";"8273";"7973";"764";"1997";"8837";"14094";"5823";"2075";"11729";"3659";"5245";"7881";"1778";"2076";"2900";"3883";"357";"2276";"2507";"1709";"6879";"644";"2783";"6966";"4451";"3013";"3844";"1527";"6198";"3245";"4054";"1672";"4223";"9799";"2546";"3417";"2113";"3136";"5016";"5929";"3431";"6559";"11647";"3456";"952";"1142";"3107";"9157";"3128";"6846";"6643";"3249";"1758";"6301";"1367";"4194";"3448";"3683";"4509";"3503";"4386";-
