"Períodos";"Indicadores";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaiba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Lider";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"Jaçanã";"José Bonifácio (distrito da capital)";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira (distrito da capital)";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro (distrito da capital)";"Tatuapé";"Tremembé (distrito da capital)";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Cód. IBGE"
"2020";"População Feminina de 30 a 34 Anos";"3098";"1509";"3883";"3437";"4232";"714";"3461";"1908";"1768";"1573";"12185";"2237";"6194";"1671";"2367";"3924";"10002";"6001";"13363";"3209";"3562";"12821";"8742";"5890";"10240";"3482";"4416";"5290";"5731";"16834";"4756";"6455";"4458";"3510";"10201";"8746";"9679";"940";"2192";"9070";"14334";"5808";"3684";"12996";"4077";"5529";"7701";"2349";"3219";"3361";"4369";"341";"3241";"3112";"2020";"6140";"843";"3064";"7183";"5357";"4682";"3835";"2373";"7066";"3832";"4493";"2880";"5162";"11198";"4060";"4969";"2558";"3528";"5869";"6566";"3893";"6469";"12479";"4904";"1345";"1337";"3767";"9340";"4002";"7319";"6570";"3821";"2206";"6587";"1492";"4971";"5507";"4320";"5433";"4265";"5172";-
"2020";"População Feminina de 35 a 39 Anos";"3338";"1637";"3585";"3675";"4573";"836";"4560";"2266";"1892";"1589";"11947";"2798";"6531";"1917";"2871";"4605";"10694";"6094";"13598";"3584";"3912";"12886";"8891";"6068";"10186";"3400";"5166";"5285";"6316";"17043";"4652";"6203";"5028";"5163";"9940";"8952";"10701";"1041";"2647";"9308";"14956";"5655";"5262";"13747";"4280";"6278";"7140";"2902";"3921";"3552";"4589";"290";"4344";"3464";"2180";"6162";"839";"3144";"7109";"5556";"6018";"3632";"3551";"7572";"3926";"4991";"3408";"5681";"12333";"4830";"5547";"3011";"3819";"6221";"6822";"3585";"6736";"12730";"6683";"1329";"1658";"4169";"9391";"4397";"7390";"6403";"3959";"2521";"6516";"1910";"5200";"7343";"4501";"5428";"4650";"5667";-
"2020";"População Feminina de 40 a 44 Anos";"3583";"1823";"3382";"3404";"4379";"810";"3751";"2089";"1674";"1424";"10991";"2514";"5958";"1893";"2912";"4993";"10225";"5430";"12656";"3577";"3615";"12222";"8492";"5645";"9373";"2637";"5000";"4881";"5836";"15549";"4234";"5490";"4872";"5388";"8940";"8856";"10350";"989";"2532";"8795";"14227";"5152";"4890";"12537";"4048";"6373";"6577";"3105";"3605";"3373";"4600";"295";"4758";"3476";"2345";"5835";"684";"3093";"6780";"5272";"5695";"3518";"3433";"7139";"3559";"4931";"2871";"5354";"11477";"4356";"5042";"3333";"3621";"5888";"6078";"3320";"6377";"11196";"6597";"1277";"1536";"4140";"8799";"4058";"7541";"5984";"3707";"2585";"5847";"2290";"4612";"6601";"4372";"4833";"4396";"5496";-
"2020";"População Feminina de 45 a 49 Anos";"3055";"1603";"3314";"3186";"3869";"672";"2831";"1644";"1299";"1148";"9598";"2047";"5125";"1696";"2739";"4582";"8801";"5049";"10797";"3278";"3163";"10589";"7454";"5003";"7966";"2040";"4332";"4289";"5180";"13798";"3789";"5157";"4464";"4324";"8155";"7940";"8852";"847";"2164";"7774";"12252";"4591";"3597";"11011";"3383";"5100";"6080";"2698";"3117";"2938";"4435";"230";"4090";"3196";"2179";"5401";"683";"2553";"5871";"4714";"4589";"3148";"2738";"6382";"3190";"4125";"2289";"4537";"10086";"3387";"4303";"3145";"3249";"5238";"5578";"3001";"5845";"10149";"5466";"1150";"1392";"3890";"8302";"3420";"6424";"5658";"3314";"2131";"5173";"2063";"3850";"5119";"3990";"4189";"3869";"4704";-
"2020";"População Feminina de 50 a 54 Anos";"3055";"1601";"2911";"3047";"3395";"507";"2448";"1478";"1196";"988";"8915";"1873";"4692";"1393";"2273";"4390";"7541";"4785";"9576";"3126";"2873";"9319";"6924";"4476";"6901";"1904";"4022";"3978";"4945";"12585";"3482";"4736";"4120";"3414";"7863";"7313";"8168";"823";"1797";"6911";"10832";"4185";"3147";"9741";"3053";"4469";"5461";"2579";"2544";"2565";"4174";"255";"3344";"2977";"2021";"4815";"583";"2311";"5370";"4735";"4091";"2887";"2514";"6020";"3157";"3494";"2022";"4129";"9029";"3235";"4261";"2879";"3098";"5108";"5246";"3048";"5238";"9687";"5078";"851";"1302";"3732";"7458";"3411";"5471";"5132";"3382";"1901";"4828";"1625";"3625";"4677";"3811";"4134";"3692";"4152";-
"2020";"População Feminina de 55 a 59 Anos";"3219";"1829";"2285";"2914";"3276";"543";"2349";"1547";"1110";"890";"7601";"1912";"4349";"1339";"2386";"4105";"6432";"4620";"8142";"3335";"2957";"8093";"6224";"4019";"6290";"2149";"4173";"3564";"4918";"10333";"2947";"4009";"3979";"3524";"6689";"6224";"7759";"836";"1664";"6119";"8201";"3544";"3399";"8327";"2969";"3913";"4478";"2654";"2506";"2505";"4201";"243";"3605";"2952";"1864";"3820";"575";"2031";"4365";"4728";"4435";"2332";"2615";"5882";"3148";"3010";"1920";"3856";"8737";"3069";"4570";"2854";"2884";"5302";"4869";"2808";"4362";"9078";"5266";"621";"1354";"3977";"6501";"3630";"4411";"4352";"3587";"1946";"4339";"1601";"3441";"5145";"3702";"3988";"3812";"3723";-
"2020";"População Feminina de 60 a 64 Anos";"3033";"1673";"1592";"2697";"3084";"504";"2360";"1362";"934";"816";"6280";"1839";"3764";"1305";"2295";"3591";"5607";"3985";"6924";"2992";"2814";"7295";"5647";"3605";"5454";"2144";"4072";"3128";"4735";"8399";"2560";"3167";"3753";"3521";"5612";"5426";"7006";"837";"1369";"5205";"6764";"3038";"3520";"6960";"2814";"3769";"3777";"2518";"2475";"2489";"3676";"208";"3500";"2784";"1655";"3136";"495";"1795";"3782";"4360";"4484";"1868";"2557";"5366";"2984";"2745";"1829";"3483";"7509";"3051";"4551";"2711";"2577";"4574";"4252";"2426";"3362";"7855";"5337";"568";"1243";"3609";"5605";"3746";"3193";"3552";"3348";"1872";"3837";"1268";"3072";"5300";"3485";"4076";"3617";"3409";-
"2020";"População Feminina de 65 a 69 Anos";"2586";"1520";"1075";"2261";"2710";"430";"2140";"1248";"832";"629";"4719";"1714";"2855";"1087";"2110";"2915";"4315";"3187";"5420";"2551";"2380";"5654";"4365";"2822";"4159";"1982";"3415";"2491";"3727";"6002";"1954";"2276";"3075";"3340";"4095";"4400";"5566";"688";"1144";"3753";"4945";"2269";"3437";"5480";"2262";"3458";"2746";"2229";"2180";"2112";"2861";"141";"3217";"2282";"1381";"2131";"376";"1378";"2771";"3647";"4070";"1363";"2381";"4266";"2316";"2208";"1578";"2639";"5994";"2631";"3946";"2424";"2070";"3858";"3213";"1808";"2577";"6075";"4641";"402";"1128";"3010";"4448";"3240";"2368";"2797";"2813";"1590";"2790";"1001";"2445";"4972";"2979";"3141";"3006";"2921";-
"2020";"População Feminina de 70 a 74 Anos";"2158";"1325";"597";"1896";"2192";"398";"1743";"925";"599";"427";"3529";"1393";"2110";"811";"1738";"2239";"3044";"2368";"3746";"2146";"1860";"4117";"3325";"2111";"2587";"1678";"2530";"1659";"2788";"4076";"1304";"1490";"2453";"2700";"2855";"3171";"4166";"573";"952";"2504";"3257";"1634";"2702";"3868";"1715";"2444";"1861";"1822";"1780";"1576";"2336";"106";"2492";"1831";"1129";"1500";"349";"1018";"1894";"2949";"3400";"991";"1886";"3188";"1783";"1633";"1279";"2028";"4412";"2100";"3020";"2094";"1633";"3070";"2456";"1360";"1947";"4616";"3718";"329";"926";"2254";"3220";"2502";"1683";"2125";"2226";"1273";"1916";"749";"1956";"3873";"2264";"2555";"2364";"2308";-
"2020";"População Feminina de 75 Anos e Mais";"3852";"2404";"637";"2865";"2969";"694";"2740";"1827";"1084";"648";"4143";"2353";"2554";"1566";"3197";"3230";"3475";"3294";"3918";"3586";"3056";"5167";"3713";"2252";"2332";"3224";"4403";"2104";"4188";"3736";"1478";"1431";"4451";"4885";"3155";"3924";"6530";"848";"1409";"2682";"3258";"1843";"5198";"4195";"2483";"2463";"2004";"3627";"2877";"2287";"3419";"134";"4131";"3695";"1672";"1404";"676";"1179";"2143";"5017";"5412";"1065";"3788";"4515";"2628";"1755";"1916";"2746";"6502";"3645";"5397";"3627";"2334";"4882";"3175";"2130";"2091";"5599";"6652";"447";"1556";"4380";"4219";"4413";"1906";"2525";"3673";"2199";"2145";"1313";"3062";"6630";"3611";"3972";"4096";"3193";-
